nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Amilo salicilato,https://ar.prvademecum.com/principio-activo/amilo-salicilato-2654/,,,,,,,,,,ATOMO ACEITE CBD; ATOMO ACEITE VERDE; ATOMO CANNABIDIOL CBD; ATOMO DESINFLAMANTE AEROSOL; ATOMO DESINFLAMANTE CLASICO; RATI SALIL CREMA
Meglumina yoxagalato,https://ar.prvademecum.com/principio-activo/meglumina-yoxagalato-447/,,,,,,,,,,
Prostaglandinas,https://ar.prvademecum.com/principio-activo/prostaglandinas-3890/,,,,,,,,,,
Indapamida,https://ar.prvademecum.com/principio-activo/indapamida-147/,Antihipertensivo. Diurético.,"Se piensa que su mecanismo de acción como antihipertensivo está relacionado tanto con los efectos renales como con los extrarrenales. El efecto diurético (reducción del líquido extracelular y volumen sanguíneo) sólo contribuye en forma mínima, ya que la indapamida disminuye la presión arterial en dosis más bajas que la dosis diurética eficaz. Se piensa que el efecto antihipertensivo es el resultado de la reducción de la resistencia vascular periférica. Inhibe la reabsorción de agua y electrólitos como resultado de la acción sobre el segmento cortical del túbulo distal. Su unión a las proteínas es muy elevada (71% a 79%); se metaboliza en el hígado; su vida media en sangre es de 14 horas. Se elimina por vía renal y gastrointestinal.","Hipertensión, sobre todo en pacientes con disfunción renal. Edema asociado con insuficiencia cardíaca congestiva.","Adultos: 2,5mg/día; ajustar la dosis, de acuerdo con la respuesta, después de una a cuatro semanas, hasta 5mg/día como dosis única. Los pacientes geriátricos pueden ser más sensibles a los efectos de la dosis usual para adultos.","Sequedad de boca, náuseas, vómitos, cansancio o debilidad no habituales, arritmias cardíacas, calambres o dolores musculares, rash cutáneo, mareos, cefaleas, o anorexia.","Es importante la dieta y que el paciente mantenga el tratamiento aunque no presente síntomas de hipertensión. Se recomienda no tomar otros fármacos, en especial simpaticomiméticos, si no están prescriptos por el médico tratante. La hipotensión y los signos de hipopotasemia pueden ser más frecuentes en pacientes de edad avanzada.","Los corticoides, ACTH y la anfotericina B pueden disminuir el efecto natriurético y diurético e intensificar el desequilibrio electrolítico, sobre todo la hipopotasemia. El uso simultáneo con amiodarona puede dar lugar a un aumento del riesgo de arritmias asociadas con hipopotasemia. Los efectos pueden disminuir con el uso de anticoagulantes derivados de la cumarina. Los glucósidos digitálicos pueden potenciar la posibilidad de toxicidad por digital asociada con hipopotasemia. La dopamina puede aumentar su efecto diurético y el de la indapamida. Los efectos antihipertensivos se pueden reducir con el uso simultáneo de estrógenos o simpaticomiméticos. La indapamida puede provocar toxicidad por litio cuando se asocia con éste por disminución de su excreción renal. El uso simultáneo de bicarbonato de sodio puede incrementar la posibilidad de alcalosis hipoclorémica.","La relación riesgo-beneficio debe evaluarse en presencia de anuria o disfunción renal severa, diabetes mellitus, antecedentes de gota o hiperuricemia, disfunción hepática y simpatectomía.",,INDAPAMIDA CHOBET (DUREMID); NATRILIX SR; NORANAT; NORANAT SR
Quinina,https://ar.prvademecum.com/principio-activo/quinina-2337/,Antipalúdico. Tratamiento del calambre.,"Es un alcaloide natural que se extrae de la corteza desecada de ciertas plantas rubiáceas (cinchona calisaya). Es un antipalúdico con acción supresiva sobre el Plasmodium falciparum, pero su acción es mucho menos potente que los derivados de las 4-aminoquinolinas (cloroquina), de allí que sólo se la emplee en pacientes con paludismo resistente a la cloroquina. No tiene acción profiláctica causal ya que no actúa sobre los esporozoítos ni sobre las formas preeritrocíticas o exoeritrocíticas. Desarrolla sinergismo al asociarse con la pirimetamina; desarrolla además un efecto hipotérmico en sujetos febriles con producción de termólisis, pérdida de calor al actuar sobre el centro termorregulador. Los efectos de la quinina sobre el musculoesquelético se producen según tres mecanismos: 1) incremento del período refractario (acción directa sobre la fibra muscular), 2) disminución de la excitabilidad de la placa neuromuscular (acción similar a la del curare) y 3) alteración de la distribución del calcio dentro de la fibra muscular. Se absorbe rápidamente por vía oral, es degradada extensamente (sólo 5% se excreta inalterada en la orina). Se une en alto grado a proteínas plasmáticas y se excreta a doble velocidad en la orina ácida que en la alcalina. Vida media: 4-5 horas. La quinina alcanza en el LCR sólo 2% a 5% de la concentración plasmática. Atraviesa la barrera placentaria y ocasiona daños al feto.","Paludismo provocado por cepas de P. falciparum resistentes a la cloroquina. Prevención y tratamiento de los calambres musculares de los miembros inferiores (piernas, pie), asociados con el descanso nocturno.","Tratamiento del calambre nocturno: 260 a 520mg de sulfato de quinina por día, con suspensión periódica del tratamiento y observar si hay que continuarlo o no.","Hemólisis aguda, coagulación intravascular diseminada, trombocitopenia, agranulocitosis. Disturbios visuales, visión borrosa, fotofobia, diplopía, vértigo, dolor de cabeza, náusea, vómito, fiebre. Erupciones cutáneas, sudoración, edema. Síntomas asmáticos y de angina de pecho.",Suspender si aparece cualquier evidencia de hipersensibilidad. El amamantamiento se suspenderá si la madre debe recibirla.,,"No usar en mujeres embarazadas, es teratogénica y puede provocar aborto. Hipersensibilidad a la quinina. Pacientes con deficiencia de glucosa-6-fosfato deshidrogenasa. Pacientes con neuritis óptica o tinnitus.",La sobredosis de quinina produce efectos similares a los enumerados en Reacciones adversas; en dosis de 2 a 8 gramos puede provocar la muerte. Tratamiento: lavado gastrointestinal y medidas de sostén y sintomáticas.,CIRCONYL
Cefalosporinas,https://ar.prvademecum.com/principio-activo/cefalosporinas-3734/,,,,,,,,,,
Insulina detemir,https://ar.prvademecum.com/principio-activo/insulina-detemir-5648/,,,,,,,,,,
Inhibidores de la fosfodiesterasa tipo V,https://ar.prvademecum.com/principio-activo/inhibidores-la-fosfodiesterasa-tipo-v-5629/,,,,,,,,,,
Insulina aspártica,https://ar.prvademecum.com/principio-activo/insulina-asp%C3%A1rtica-7329/,,,,,,,,,,DENSURAPID; INSULINA FIASP; RAPILOG ONE
Fibras dietéticas,https://ar.prvademecum.com/principio-activo/fibras-diet%C3%A9ticas-2718/,,,,,,,,,,PEDIASURE CLINICAL; SIMPLE DEFENSAS
Complejo protrombínico,https://ar.prvademecum.com/principio-activo/complejo-protromb%C3%ADnico-6721/,,,,,,,,,,
Tiamina,https://ar.prvademecum.com/principio-activo/tiamina-1503/,Suplemento nutricional.,"La tiamina se combina con trifosfato de adenosina (ATP) y forma una coenzima, el pirofosfato de tiamina, necesaria para el metabolismo de los hidratos de carbono. Las vitaminas B se absorben fácilmente en el tracto gastrointestinal, excepto en los síntomas de malabsorción. La tiamina se absorbe en su mayor parte en el duodeno. El alcohol inhibe la absorción de tiamina. La absorción total máxima al día de tiamina oral es de 5mg a 15mg. Se metaboliza en el hígado y se elimina por vía renal (casi completamente como metabolitos). Las cantidades superiores a las necesidades diarias se excretan en la orina como producto inalterado y metabolitos.",Estados carenciales de tiamina como resultado de una nutrición inadecuada o de malabsorción intestinal. La deficiencia de tiamina puede dar lugar a beriberi o encefalopatía de Wernicke. Las necesidades de todas las vitaminas son mayores durante el embarazo y la lactancia.,"Adultos: beriberi: 5mg a 10mg tres veces al día (en preparación polivitamínica); tratamiento de la deficiencia: 5mg a 10mg tres veces por día hasta que se produzca la mejoría. Dosis pediátricas: beriberi: lactantes 10mg/día; tratamiento de la deficiencia: 10mg a 50mg/día en varias tomas; suplemento dietético: lactantes 0,3mg a 0,5mg/día; niños: 0,5mg a 1mg/día. Ampollas: beriberi: adultos IM o IV lenta, 5mg a 100mg 3 veces por día, seguidos de administración oral; dosis pediátrica: suplemento nutricional (beriberi): IM o IV lenta, 10mg a 25mg.","Son de incidencia muy rara: rash cutáneo, prurito o sibilancias (por reacción anafiláctica).","Debido a la poca frecuencia con que se producen deficiencias de una sola vitamina B, normalmente se administran asociaciones. Las mejores fuentes dietéticas de tiamina son los cereales y las carnes (sobre todo la de cerdo). La administración parenteral sólo está indicada cuando la vía oral no es aceptable (por mareos o vómitos). No usar las vitaminas como sustituto de una dieta equilibrada. No se recomiendan las megadosis.",,La relación riesgo-beneficio debe evaluarse en presencia de encefalopatía de Wernicke. Ello se debe a que la carga de glucosa intravenosa puede precipitar o agravar esta patología en pacientes con deficiencia de tiamina; ésta se debe administrar antes que la glucosa.,,TIAMINA AUSTRAL; VITAMINA B1 BIOL FUERTE
Bisacodilo,https://ar.prvademecum.com/principio-activo/bisacodilo-660/,Laxante.,"Se piensa que la droga aumenta el peristaltismo mediante un efecto directo sobre la musculatura lisa intestinal por estimulación de los plexos nerviosos intramurales. Se ha demostrado que facilita la acumulación de líquidos y iones en el colon para aumentar el efecto laxante. Se absorbe mínimamente por vía oral o rectal, produce la formación de heces acuosas.",Está indicado para favorecer la defecación en pacientes geriátricos con respuesta motora del colon disminuida o para evacuar el colon en la preparación para exámenes del recto o del intestino y en la cirugía programada de colon.,Es adecuado para una terapéutica a largo plazo si fuere necesario. Se administra al acostarse para que produzca los resultados por la mañana: 1 supositorio o 1 a 2 grageas.,"Confusión, arritmias cardíacas, calambres musculares, cansancio o debilidad no habituales (la sobredosificación aguda o el uso crónico indebido pueden ocasionar desequilibrios electrolíticos), rash cutáneo.",Se deben beber diariamente al menos 6 a 8 vasos (240ml cada uno) de líquido para ayudar a ablandar las heces. No masticar ni triturar los comprimidos y no tomar con leche ni antiácidos. No tomar durante más de 1 semana.,,No usar en caso de que existan síntomas de apendicitis. El uso indebido o prolongado puede producir dependencia en la función intestinal.,,ULTRALAX
Etilhexilmetoxicinamato,https://ar.prvademecum.com/principio-activo/etilhexilmetoxicinamato-1653/,,,,,,,,,,FOTOSOL ULTRA 50+; FOTOSOL ULTRA CASSARA
Cucumis sativus,https://ar.prvademecum.com/principio-activo/cucumis-sativus-5260/,,,,,,,,,,
Sodio carbonato,https://ar.prvademecum.com/principio-activo/sodio-carbonato-1304/,,,,,,,,,,OTOCLEAN GOTAS OTICAS
Valproico ácido,https://ar.prvademecum.com/principio-activo/valproico-%C3%A1cido-154/,Anticonvulsivante. Antiepiléptico.,"Es un agente antiepiléptico ""mayor"" que se emplea en diferentes formas clínicas de la enfermedad convulsiva: pequeño mal, crisis de ausencia y como adyuvante en las crisis mixtas. El ácido valproico se presenta bajo diversas sales y derivados (sódica, magnésica, piroxil, divalproato) que se emplean indistintamente en la práctica; pero la sal magnésica (valproato de magnesio) ha demostrado ser la más efectiva y mejor tolerada con un menor índice de efectos secundarios. Este anticomicial es totalmente diferente de los otros fármacos de este grupo terapéutico (fenobarbital, carbamazepina) tanto estructuralmente (no tiene radicales unidos en su estructura química) como farmacológicamente, ya que posee otros efectos (antianóxico) a nivel periférico evitando la inactivación del metabolismo muscular y la apnea de la crisis convulsiva, y ansiolítico por su acción gabaérgica. Está comprobado que la epilepsia se debe a descargas neuronales exageradas en las cuales hay una disminución importante del GABA (ácido gamma aminobutírico), principal neuroinhibidor del SNC. Independientemente de la etiología de la epilepsia, los niveles del GABA se encuentran disminuidos. Existen algunos datos probados y otros aún en estudio sobre el mecanismo de acción del valproato de magnesio. Algunos autores han demostrado que el ácido valproico por sí mismo inhibe la descarga neuronal y en ocasiones potencializa las acciones inhibitorias del GABA sobre la descarga neuronal. La teoría más ampliamente aceptada es que el ácido valproico refuerza el efecto inhibitorio del GABA a través de un aumento de la síntesis o una disminución de la degradación de este neurotransmisor. Hay mayores evidencias en favor del aumento de los niveles del GABA en el cerebro por medio de la acción inhibidora del valproato sobre la enzima GABA transaminasa. También se considera que el valproato actúa sobre la neurona de un modo directo y al mismo tiempo aumenta la cantidad de GABA cerebral. Se ha encontrado también que el valproato actúa en los receptores postsinápticos aumentando en ese lugar la acción inhibitoria del GABA. El valproato de magnesio hace disminuir los niveles de aspartato cerebral con aumento de GABA, protegiendo al paciente contra crisis audiógenas. El mecanismo por el cual el ácido valproico actúa como preventivo en la migraña, no está bien establecido. Este fármaco al ser GABA-adrenérgico y tener acción sobre los receptores GABA, incluyendo aquellos del rafe dorsal, provoca una disminución de la descarga de las neuronas serotoninérgicas, previniendo la vasodilatación observada en las crisis de migraña. Estos efectos antimigrañosos también pueden estar relacionados con la reducción de la hiperexcitabilidad ocasionada por el glutamato. La sal magnésica del ácido valproico se absorbe rápidamente luego de su administración, siendo las formas farmacéuticas mejor toleradas y con menor incidencia de efectos secundarios digestivos las tabletas y las grageas con capa entérica. En este punto la absorción digestiva del fármaco lleva 30 a 60 minutos con las tabletas o la solución, en tanto que es mucho más lenta (2 a 8 horas) para las grageas con cobertura entérica. La biodisponibilidad es casi total (100%) y su biotransformación metabólica es casi completa antes de su eliminación (sólo el 1 al 3% de la dosis administrada aparece inalterada en la orina). La concentración sérica máxima se alcanza en 1 a 2 horas para las tabletas y en 3 a 12 horas para las grageas entéricas. Se han observado algunas variaciones circadianas en los niveles sanguíneos del valproato, que pueden explicarse por la existencia de una circulación enterohepática del medicamento. La distribución del valproato se limita primeramente al líquido extracelular y a la circulación. La penetración a los tejidos es muy limitada. El volumen aparente de distribución del valproato es entre 0,1 a 0,4l/kg. El líquido cefalorraquídeo en el hombre contiene niveles de valproato similares a los niveles hemáticos, mientras que los niveles en tejido cerebral varían entre 6,8 y 27,9% de los niveles plasmáticos. La vida media encontrada del valproato es entre 8 y 15 horas, aunque hay estudios en los que se le encuentra una vida media de 15 y 17 horas. La vida media puede variar con la edad y sobre todo se reduce en aquellos pacientes que están recibiendo más de un medicamento. El valproato disminuye de la sangre de una manera biexponencial indicando un modelo de dos compartimientos farmacocinéticos. La vida media terminal parece ser de 15 a 17 horas y es independiente de la dosis administrada. Sin embargo, la farmacocinética de la primera fase de eliminación es dependiente de la dosis. La vida media de esta fase es más corta para dosis altas de valproato que para dosis bajas. Se ha encontrado que el valproato se une en cerca del 90% a las proteínas plasmáticas, principalmente a la albúmina. La fracción unida a alfa y gammaglobulina es pequeña. El valproato se une a dos sitios de saturación de proteínas, uno de afinidad alta y otro de afinidad baja. La unión a las proteínas del valproato se traduce en una retención del medicamento por más tiempo y su inactivación temporal. Solamente el valproato libre tiene actividad farmacológica, puesto que sólo la forma libre se difunde en el cerebro. Ciertos factores pueden influir en el porcentaje de desunión del medicamento, como la presencia de niveles reducidos de albúmina en la sangre, lo que ocurre por ejemplo en los recién nacidos con insuficiencia hepática. Es recomendable llevar a cabo un análisis del nivel de albúmina sanguínea antes de comenzar el tratamiento antiepiléptico con valproato. La conjugación con el ácido glucurónico es la principal vía metabólica a nivel del retículo endoplasmático. Finalmente el 70% de la dosis se elimina por vía renal y en pequeñas cantidades por heces.","Tratamiento de la epilepsia (crisis de ausencia, pequeño mal). Como coadyuvante en el tratamiento de las crisis mixtas de epilepsia.","La dosis usual para adultos es de 5mg a 15mg/kg/día por vía oral, la dosis se aumenta cada semana 5mg a 10mg/kg/día según tolerancia, hasta un máximo de 60mg/kg/día. La dosis usual pediátrica (para niños de 1 a 12 años) es 15mg a 45mg/kg/día.","Hepatotoxicidad grave o mortal (mayor riesgo en niños que reciben otros anticonvulsivos en forma simultánea), calambres abdominales, alteraciones intestinales, diarrea, temblores, náuseas, vómitos, rash cutáneo, somnolencia, inhibición de la agregación plaquetaria, trombocitopenia, hemorragias, hematomas.","Su administración debe ser cuidadosa en niños (tienen mayor riesgo de desarrollar hepatotoxicidad grave), en presencia de discrasias sanguíneas, patologías cerebrales, insuficiencia hepática y disfunción renal. Se debe tener precaución en casos de cirugía, tratamiento dental o emergencia por la posible prolongación del tiempo de sangría. No se recomienda la ingestión de alcohol u otros depresores del SNC. Para suspender su administración la dosis debe reducirse en forma gradual, ya que la suspensión brusca puede precipitar la crisis o el estatus epiléptico. En caso de utilizar el ácido valproico para reemplazar o suplementar otra terapéutica anticonvulsiva, la dosificación se debe aumentar en forma gradual, a la vez que se disminuye la otra medicación con el objeto de mantener el control de la crisis. La vida media puede alargarse conside<->rablemente en pacientes con disfunción hepática y en niños menores de 18 meses. Se recomiendan, antes y durante el tratamiento, controles del tiempo de sangría, hemograma, determinaciones de la función hepática y renal. Precauciones o restricciones de uso durante el embarazo y la lactancia: no deberá usarse durante el primer trimestre del embarazo. En vista de que se han informado algunos casos de hepatotoxicidad, se sugiere realizar hepatograma antes del tratamiento y dos meses después. La dosis deberá reducirse inmediatamente en presencia de disfunción hepática ya que ésta ha progresado a pesar de discontinuarse el medicamento.","La hipoprotrombinemia inducida por el ácido valproico puede aumentar la actividad de los derivados de la cumarina e indandiona, y aumentar el riesgo de hemorragias en pacientes que reciben heparina o trombolíticos. El uso simultáneo con antidepresivos tricíclicos, haloperidol, inhibidores de la monoaminooxidasa y fenotiazinas puede potenciar la depresión del SNC y disminuir el umbral convulsivo. La administración con medicamentos hepatotóxicos puede aumentar el riesgo de hepatotoxicidad. La administración con inhibidores de la agregación plaquetaria puede aumentar el riesgo de hemorragias. Está plenamente demostrado que el ácido valproico potencializa el efecto anticonvulsivante del fenobarbital, por lo cual debe reducirse la dosis de ambos hasta lograr el control de una crisis. Aunque potencializa su efecto antiepiléptico, no aumentó el efecto hipnótico del fenobarbital. Cuando se administra con difenilhidantoína puede dar lugar a crisis convulsivas imprevistas o a toxicidad por esta droga por interferir en su unión a las proteínas; disminuyen los niveles séricos de esta última, porque la afinidad del valproato hacia las proteínas es mayor que la de la difenilhidantoína. Sin embargo, esto trae consigo un incremento de la fracción libre de difenilhidantoína y un aumento en la depuración hepática; debido a esto pueden presentarse efectos tóxicos que son debidos no al valproato sino a la difenilhidantoína. Si se administran juntos durante el embarazo, puede aumentar la incidencia de malformaciones congénitas descritas en el síndrome feto-hidantoína (paladar hendido, labio leporino, malformaciones cardíacas, hipoplasia digital y displasia de uñas). Con la etosuccimida, el valproato inhibe su metabolismo, produciendo un aumento de hasta 53% del nivel sérico de succimida. Si se agrega valproato a la carbamazepina, se ha observado sedación, diplopía y somnolencia, efectos transitorios que se eliminan reduciendo o quitando la carbamazepina de su ligadura a las proteínas, por parte del valproato. Lo mismo sucede cuando se emplea valproato con otros medicamentos que tienen gran afinidad por las proteínas como los anticoagulantes. También los otros medicamentos pueden ejercer algún efecto sobre el valproato. El fenobarbital, la difenilhidantoína y la carbamazepina inducen el metabolismo del ácido valproico y pueden dar lugar a menores concentraciones séricas y menor vida media, por aumento de la actividad de las enzimas microsómicas hepáticas. En ocasiones es tan fuerte este efecto que no pueden obtenerse niveles plasmáticos óptimos del ácido valproico. La aspirina y la fenilbutazona desplazan al ácido valproico de su unión con las proteínas, lo que puede traducirse en aumento de la depuración plasmática. Cuando se administra ácido valproico con alimentos, éstos no influyen en la cantidad de absorción, solamente la retardan. La asociación con otros antiepilépticos requerirá ajustar la dosis de cada uno para evitar la aparición de efectos indeseables. El uso simultáneo con barbitúricos o primidona puede aumentar las concentraciones séricas de éstos, debido al desplazamiento de las uniones a proteínas con el consiguiente riesgo de toxicidad neurológica y depresión del SNC. En caso de asociarse con fenobarbital, la dosis de éste no debe exceder de 200mg al día, porque el ácido valproico potencializa su efecto. El ácido valproico se une fuertemente a las proteínas, por lo que puede desplazar a otros fármacos que tienen la misma propiedad y deberá tomarse en cuenta en pacientes con alteraciones hepáticas, hematológicas y en diabéticos.",Hipersensibilidad al ácido valproico u otros valproatos. Insuficiencia hepática severa. Embarazo (puede producir anomalías en el tubo neural en el feto).,"Pueden presentarse molestias gastrointestinales y depresión del SNC manifestadas como temblor, debilidad, ataxia, pérdida del reflejo extensor y sueño. Pudiera presentarse degeneración grasa hepática en aquellas personas con algún padecimiento hepático preexistente. Cuando se administra valproato con algún otro fármaco, los signos tóxicos dependerán del grado de afinidad a las proteínas del otro medicamento. Así, por ejemplo, en caso de sobredosis del ácido valproico (36g) tomado con fenobarbital (1g) y fenitoína (300mg) se ha reportado coma. Se recomienda suspensión del tratamiento. Monitoreo del estado cardiovascular. Lavado gástrico. Hidratación parenteral. Oxigenoterapia. Ventilación pulmonar. Tratamiento sintomático (aminas vasoactivas, diuréticos, cardiotónicos, etc.).",DEPAKENE; EXIBRAL JBE; FLAXVAN
